"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"3727",9,"con","noncanon",43,"043_Lampe_Strassenlaterne",1,292
"3728",9,"incon","noncanon",13,"013_Blume_Rosen",1,812
"3729",9,"con","canon",109,"109_Router",1,829
"3730",9,"con","canon",101,"101_Becken_Waschbecken",1,548
"3731",9,"con","canon",12,"012_Blume_Orchidee",1,366
"3732",9,"incon","noncanon",29,"029_Klavier_Fluegel",1,473
"3733",9,"con","canon",83,"083_Ventilator_Standventilator",1,391
"3734",9,"incon","noncanon",51,"051_Regal_Holzregal",1,623
"3735",9,"incon","noncanon",116,"116_Kamin",1,502
"3736",9,"con","noncanon",5,"005_Bett_Doppelbett",1,886
"3737",9,"con","noncanon",6,"006_Bett_Einzelbett",1,396
"3738",9,"incon","canon",8,"008_Bildschirm_Desktop",1,657
"3739",9,"con","noncanon",117,"117_Muffin",1,883
"3740",9,"con","noncanon",93,"093_Boot_Kanu",1,439
"3741",9,"incon","canon",85,"085_Auto_Pickuptruck",1,319
"3742",9,"con","noncanon",24,"024_Glas_Trinkglas",1,346
"3743",9,"incon","canon",70,"070_Stuhl_Schalenstuhl",1,343
"3744",9,"incon","noncanon",19,"019_Drucker_Heimdrucker",1,393
"3745",9,"incon","noncanon",115,"115_Kaefig_Vogelkaefig",1,629
"3746",9,"con","noncanon",97,"097_Besteck_Gabel",1,435
"3747",9,"incon","noncanon",108,"108_MP3player",0,582
"3748",9,"incon","noncanon",78,"078_Tisch_Sofatisch",1,658
"3749",9,"con","canon",96,"096_Auto_Oldtimer",1,449
"3750",9,"con","noncanon",38,"038_Toaster_2ScheibenToaster",1,946
"3751",9,"incon","noncanon",48,"048_Nuss_Mandel",1,582
"3752",9,"con","noncanon",79,"079_Tisch_Schreibtisch",0,687
"3753",9,"incon","canon",69,"069_Stuhl_Rollstuhl",1,283
"3754",9,"incon","canon",4,"004_Baum_Weide",1,480
"3755",9,"con","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,335
"3756",9,"con","canon",94,"094_Boot_Segelschiff",1,243
"3757",9,"incon","noncanon",90,"090_Flugzeug_Zweiteweltkriegsflieger",1,232
"3758",9,"incon","canon",64,"064_Sofa_Ledersofa",1,390
"3759",9,"con","canon",47,"047_Nuss_Erdnuss",1,360
"3760",9,"incon","noncanon",11,"011_Blume_Kaktus",1,975
"3761",9,"con","noncanon",107,"107_Kranz_Adventskranz",1,402
"3762",9,"con","noncanon",16,"016_Computer_Laptop",1,405
"3763",9,"con","canon",86,"086_Auto_Polizeiauto",1,370
