"","sub","consistency","rotation","imgID","imagename","correct","response_time","log_RT"
"1574",21,"incon","noncanon",17,"017_Computer_PC",1,501,6.21660610108486
"1575",21,"con","canon",72,"072_Sessel_Ledersessel",1,372,5.91889385427315
"1576",21,"con","canon",76,"076_Tisch_Holztisch",1,460,6.13122648948314
"1577",21,"con","noncanon",119,"119_Paprika",1,401,5.99396142730657
"1578",21,"incon","canon",35,"035_Kaffeemaschine_Espressomaschine",1,436,6.07764224334903
"1579",21,"incon","canon",42,"042_Lampe_Stehlampe",1,472,6.15697898558556
"1580",21,"incon","noncanon",77,"077_Tisch_Rundtisch",1,526,6.26530121273771
"1581",21,"incon","noncanon",112,"112_Wanne_Badewanne",1,449,6.10702288774225
"1583",21,"incon","canon",86,"086_Auto_Polizeiauto",1,428,6.0591231955818
"1584",21,"con","noncanon",95,"095_Boot_Kreuzfahrtschiff",1,643,6.46614472423762
"1585",21,"con","noncanon",65,"065_Sofa_Zweiersofa",1,538,6.28785856016178
"1586",21,"incon","canon",14,"014_Blume_Sonnenblume",1,448,6.10479323241498
"1587",21,"incon","canon",45,"045_Lampe_Wandlampe",1,759,6.63200177739563
"1588",21,"incon","canon",103,"103_Zahnbuerste",1,336,5.8171111599632
"1590",21,"con","noncanon",47,"047_Nuss_Erdnuss",1,525,6.26339826259162
"1591",21,"incon","canon",116,"116_Kamin",1,502,6.21860011969173
"1592",21,"incon","canon",20,"020_Drucker_Multifunktionsdrucker",1,556,6.32076829425058
"1593",21,"con","canon",52,"052_Regal_Metallregal",1,417,6.0330862217988
"1594",21,"con","noncanon",99,"099_Eimer_Wassereimer",1,561,6.3297209055227
"1595",21,"incon","canon",62,"062_Sofa_Dreiersofa",1,429,6.06145691892802
"1596",21,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,441,6.08904487544685
"1597",21,"con","noncanon",109,"109_Router",1,486,6.18620862390049
"1598",21,"con","noncanon",1,"001_Baum_Bonsai",1,1223,7.10906213568717
"1599",21,"con","noncanon",105,"105_Geschenk",1,499,6.21260609575152
"1600",21,"incon","canon",36,"036_Roller",1,463,6.13772705408623
"1601",21,"con","noncanon",106,"106_Hydrant",1,373,5.92157841964382
"1602",21,"con","canon",3,"003_Baum_Tanne",1,395,5.97888576490112
"1603",21,"incon","canon",24,"024_Glas_Trinkglas",1,514,6.24222326545517
"1604",21,"con","canon",48,"048_Nuss_Mandel",1,362,5.89164421182577
"1605",21,"con","noncanon",104,"104_Fahrradstaender",1,869,6.76734312526539
